ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS
6211114,M,Y,N,0,306000.0,Working,Higher education,Married,House / apartment,-18775,-4782,1,1,0,0,Managers,2.0
6147981,F,N,Y,0,85500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21034,365243,1,0,0,0,,2.0
6211115,F,N,Y,0,85500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21034,365243,1,0,0,0,,2.0
6211116,F,N,Y,0,85500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21034,365243,1,0,0,0,,2.0
6211117,F,N,Y,0,85500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21034,365243,1,0,0,0,,2.0
6211118,F,N,Y,0,85500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21034,365243,1,0,0,0,,2.0
6147982,F,Y,Y,0,225000.0,Working,Higher education,Single / not married,House / apartment,-11597,-3566,1,0,0,0,Sales staff,1.0
6230283,F,Y,Y,0,225000.0,Working,Higher education,Single / not married,House / apartment,-11597,-3566,1,0,0,0,Sales staff,1.0
6230285,F,Y,Y,0,225000.0,Working,Higher education,Single / not married,House / apartment,-11597,-3566,1,0,0,0,Sales staff,1.0
6230286,F,Y,Y,0,225000.0,Working,Higher education,Single / not married,House / apartment,-11597,-3566,1,0,0,0,Sales staff,1.0
6230287,F,Y,Y,0,225000.0,Working,Higher education,Single / not married,House / apartment,-11597,-3566,1,0,0,0,Sales staff,1.0
6230288,F,Y,Y,0,225000.0,Working,Higher education,Single / not married,House / apartment,-11597,-3566,1,0,0,0,Sales staff,1.0
6230289,F,Y,Y,0,225000.0,Working,Higher education,Single / not married,House / apartment,-11597,-3566,1,0,0,0,Sales staff,1.0
6230290,F,Y,Y,0,225000.0,Working,Higher education,Single / not married,House / apartment,-11597,-3566,1,0,0,0,Sales staff,1.0
6147983,F,N,N,0,121500.0,State servant,Secondary / secondary special,Widow,With parents,-20847,-248,1,0,1,0,Medicine staff,1.0
6230531,F,N,N,0,121500.0,State servant,Secondary / secondary special,Widow,With parents,-20847,-248,1,0,1,0,Medicine staff,1.0
6230532,F,N,N,0,121500.0,State servant,Secondary / secondary special,Widow,With parents,-20847,-248,1,0,1,0,Medicine staff,1.0
6230533,F,N,N,0,121500.0,State servant,Secondary / secondary special,Widow,With parents,-20847,-248,1,0,1,0,Medicine staff,1.0
6147984,F,N,Y,0,157500.0,Commercial associate,Higher education,Separated,House / apartment,-18689,-218,1,1,1,0,Accountants,1.0
6147985,F,N,Y,0,157500.0,Commercial associate,Higher education,Separated,House / apartment,-18689,-218,1,1,1,0,Accountants,1.0
6147986,F,N,Y,0,157500.0,Commercial associate,Higher education,Separated,House / apartment,-18689,-218,1,1,1,0,Accountants,1.0
6230539,F,N,Y,0,157500.0,Commercial associate,Higher education,Separated,House / apartment,-18689,-218,1,1,1,0,Accountants,1.0
6230540,F,N,Y,0,157500.0,Commercial associate,Higher education,Separated,House / apartment,-18689,-218,1,1,1,0,Accountants,1.0
6147987,F,N,Y,0,247500.0,Working,Secondary / secondary special,Separated,House / apartment,-19876,-9499,1,0,0,0,Laborers,1.0
6358059,F,N,Y,0,247500.0,Working,Secondary / secondary special,Separated,House / apartment,-19876,-9499,1,0,0,0,Laborers,1.0
6358060,F,N,Y,0,247500.0,Working,Secondary / secondary special,Separated,House / apartment,-19876,-9499,1,0,0,0,Laborers,1.0
6358061,F,N,Y,0,247500.0,Working,Secondary / secondary special,Separated,House / apartment,-19876,-9499,1,0,0,0,Laborers,1.0
6358066,F,N,Y,0,247500.0,Working,Secondary / secondary special,Separated,House / apartment,-19876,-9499,1,0,0,0,Laborers,1.0
6358067,F,N,Y,0,247500.0,Working,Secondary / secondary special,Separated,House / apartment,-19876,-9499,1,0,0,0,Laborers,1.0
6147991,M,Y,Y,2,157500.0,Working,Higher education,Married,House / apartment,-13441,-491,1,0,0,0,,4.0
6147992,M,Y,Y,2,157500.0,Working,Higher education,Married,House / apartment,-13441,-491,1,0,0,0,,4.0
6147993,F,N,Y,1,135000.0,Working,Higher education,Married,House / apartment,-15427,-2805,1,1,0,0,Private service staff,3.0
6147994,F,N,Y,1,135000.0,Working,Higher education,Married,House / apartment,-15427,-2805,1,1,0,0,Private service staff,3.0
6147995,F,N,Y,1,135000.0,Working,Higher education,Married,House / apartment,-15427,-2805,1,1,0,0,Private service staff,3.0
6358209,F,N,Y,1,135000.0,Working,Higher education,Married,House / apartment,-15427,-2805,1,1,0,0,Private service staff,3.0
6358210,F,N,Y,1,135000.0,Working,Higher education,Married,House / apartment,-15427,-2805,1,1,0,0,Private service staff,3.0
6358211,F,N,Y,1,135000.0,Working,Higher education,Married,House / apartment,-15427,-2805,1,1,0,0,Private service staff,3.0
6358212,F,N,Y,1,135000.0,Working,Higher education,Married,House / apartment,-15427,-2805,1,1,0,0,Private service staff,3.0
6358213,F,N,Y,1,135000.0,Working,Higher education,Married,House / apartment,-15427,-2805,1,1,0,0,Private service staff,3.0
6358214,F,N,Y,1,135000.0,Working,Higher education,Married,House / apartment,-15427,-2805,1,1,0,0,Private service staff,3.0
6358215,F,N,Y,1,135000.0,Working,Higher education,Married,House / apartment,-15427,-2805,1,1,0,0,Private service staff,3.0
6358216,F,N,Y,1,135000.0,Working,Higher education,Married,House / apartment,-15427,-2805,1,1,0,0,Private service staff,3.0
6147997,F,N,Y,1,135000.0,Working,Higher education,Married,House / apartment,-17673,-460,1,0,0,0,Laborers,3.0
6147998,F,N,Y,1,180000.0,Working,Secondary / secondary special,Separated,House / apartment,-12341,-1130,1,0,0,0,Sales staff,2.0
6282752,F,N,Y,1,180000.0,Working,Secondary / secondary special,Separated,House / apartment,-12341,-1130,1,0,0,0,Sales staff,2.0
6282753,F,N,Y,1,180000.0,Working,Secondary / secondary special,Separated,House / apartment,-12341,-1130,1,0,0,0,Sales staff,2.0
6282754,F,N,Y,1,180000.0,Working,Secondary / secondary special,Separated,House / apartment,-12341,-1130,1,0,0,0,Sales staff,2.0
6282755,F,N,Y,1,180000.0,Working,Secondary / secondary special,Separated,House / apartment,-12341,-1130,1,0,0,0,Sales staff,2.0
6282756,F,N,Y,1,180000.0,Working,Secondary / secondary special,Separated,House / apartment,-12341,-1130,1,0,0,0,Sales staff,2.0
6282757,F,N,Y,1,180000.0,Working,Secondary / secondary special,Separated,House / apartment,-12341,-1130,1,0,0,0,Sales staff,2.0
6282758,F,N,Y,1,180000.0,Working,Secondary / secondary special,Separated,House / apartment,-12341,-1130,1,0,0,0,Sales staff,2.0
6282759,F,N,Y,1,180000.0,Working,Secondary / secondary special,Separated,House / apartment,-12341,-1130,1,0,0,0,Sales staff,2.0
6148000,F,N,N,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20759,365243,1,0,0,0,,2.0
6282940,F,N,N,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20759,365243,1,0,0,0,,2.0
6282941,F,N,N,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20759,365243,1,0,0,0,,2.0
6282942,F,N,N,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20759,365243,1,0,0,0,,2.0
6282946,F,N,N,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20759,365243,1,0,0,0,,2.0
6282947,F,N,N,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20759,365243,1,0,0,0,,2.0
6282948,F,N,N,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20759,365243,1,0,0,0,,2.0
6282949,F,N,N,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20759,365243,1,0,0,0,,2.0
6282950,F,N,N,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20759,365243,1,0,0,0,,2.0
6282951,F,N,N,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20759,365243,1,0,0,0,,2.0
6282952,F,N,N,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20759,365243,1,0,0,0,,2.0
6282953,F,N,N,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20759,365243,1,0,0,0,,2.0
6282954,F,N,N,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20759,365243,1,0,0,0,,2.0
6282956,F,N,N,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20759,365243,1,0,0,0,,2.0
